oh,vfatId,vfatCh,iEta,strip,chamber
0,10,54,1,037,4
0,10,55,2,037,4
0,10,56,1,036,4
0,10,57,2,036,4
0,10,58,1,035,4
0,10,59,2,035,4
0,10,60,1,034,4
0,10,61,2,034,4
0,10,62,1,033,4
0,10,63,2,033,4
0,10,64,1,032,4
0,10,65,2,032,4
0,10,66,1,031,4
0,10,67,2,031,4
0,10,68,1,030,4
0,10,69,2,030,4
0,10,70,1,029,4
0,10,71,2,029,4
0,10,72,1,028,4
0,10,73,2,028,4
0,10,74,1,027,4
0,10,75,2,027,4
0,10,76,1,026,4
0,10,77,2,026,4
0,10,78,1,025,4
0,10,79,2,025,4
0,10,80,1,024,4
0,10,81,2,024,4
0,10,82,1,023,4
0,10,83,2,023,4
0,10,84,1,022,4
0,10,85,2,022,4
0,10,86,1,021,4
0,10,87,2,021,4
0,10,88,1,020,4
0,10,89,2,020,4
0,10,90,1,019,4
0,10,91,2,019,4
0,10,92,1,018,4
0,10,93,2,018,4
0,10,94,1,017,4
0,10,95,2,017,4
0,10,96,1,016,4
0,10,97,2,016,4
0,10,98,1,015,4
0,10,99,2,015,4
0,10,100,1,014,4
0,10,101,2,014,4
0,10,102,1,013,4
0,10,103,2,013,4
0,10,104,1,012,4
0,10,105,2,012,4
0,10,106,1,011,4
0,10,107,2,011,4
0,10,108,1,010,4
0,10,109,2,010,4
0,10,110,1,009,4
0,10,111,2,009,4
0,10,112,1,008,4
0,10,113,2,008,4
0,10,114,1,007,4
0,10,115,2,007,4
0,10,116,1,006,4
0,10,117,2,006,4
0,10,118,1,005,4
0,10,119,2,005,4
0,10,120,1,004,4
0,10,121,2,004,4
0,10,122,1,003,4
0,10,123,2,003,4
0,10,124,1,002,4
0,10,125,2,002,4
0,10,126,1,001,4
0,10,127,2,001,4
0,6,0,1,192,4
0,6,1,2,192,4
0,6,2,1,191,4
0,6,3,2,191,4
0,6,4,1,190,4
0,6,5,2,190,4
0,6,6,1,189,4
0,6,7,2,189,4
0,6,8,1,188,4
0,6,9,2,188,4
0,6,10,1,187,4
0,6,11,2,187,4
0,6,12,1,186,4
0,6,13,2,186,4
0,6,14,1,185,4
0,6,15,2,185,4
0,6,16,1,184,4
0,6,17,2,184,4
0,6,18,1,183,4
0,6,19,2,183,4
0,6,20,1,182,4
0,6,21,2,182,4
0,6,22,1,181,4
0,6,23,2,181,4
0,6,24,1,180,4
0,6,25,2,180,4
0,6,26,1,179,4
0,6,27,2,179,4
0,6,28,1,178,4
0,6,29,2,178,4
0,6,30,1,177,4
0,6,31,2,177,4
0,6,32,1,176,4
0,6,33,2,176,4
0,6,34,1,175,4
0,6,35,2,175,4
0,6,36,1,174,4
0,6,37,2,174,4
0,6,38,1,173,4
0,6,39,2,173,4
0,6,40,1,172,4
0,6,41,2,172,4
0,6,42,1,171,4
0,6,43,2,171,4
0,6,44,1,170,4
0,6,45,2,170,4
0,6,46,1,169,4
0,6,47,2,169,4
0,6,48,1,168,4
0,6,49,2,168,4
0,6,50,1,167,4
0,6,51,2,167,4
0,6,52,1,166,4
0,6,53,2,166,4
0,6,54,1,165,4
0,6,55,2,165,4
0,6,56,1,164,4
0,6,57,2,164,4
0,6,58,1,163,4
0,6,59,2,163,4
0,6,60,1,162,4
0,6,61,2,162,4
0,6,62,1,161,4
0,6,63,2,161,4
0,6,64,1,160,4
0,6,65,2,160,4
0,6,66,1,159,4
0,6,67,2,159,4
0,6,68,1,158,4
0,6,69,2,158,4
0,6,70,1,157,4
0,6,71,2,157,4
0,6,72,1,156,4
0,6,73,2,156,4
0,6,74,1,155,4
0,6,75,2,155,4
0,6,76,1,154,4
0,6,77,2,154,4
0,6,78,1,153,4
0,6,79,2,153,4
0,6,80,1,152,4
0,6,81,2,152,4
0,6,82,1,151,4
0,6,83,2,151,4
0,6,84,1,150,4
0,6,85,2,150,4
0,6,86,1,149,4
0,6,87,2,149,4
0,6,88,1,148,4
0,6,89,2,148,4
0,6,90,1,147,4
0,6,91,2,147,4
0,6,92,1,146,4
0,6,93,2,146,4
0,6,94,1,145,4
0,6,95,2,145,4
0,6,96,1,144,4
0,6,97,2,144,4
0,6,98,1,143,4
0,6,99,2,143,4
0,6,100,1,142,4
0,6,101,2,142,4
0,6,102,1,141,4
0,6,103,2,141,4
0,6,104,1,140,4
0,6,105,2,140,4
0,6,106,1,139,4
0,6,107,2,139,4
0,6,108,1,138,4
0,6,109,2,138,4
0,6,110,1,137,4
0,6,111,2,137,4
0,6,112,1,136,4
