strip,hrsPin,iEta,vfatId,vfatCh
148,124,8,8,105
149,126,8,8,107
150,128,8,8,109
151,130,8,8,111
152,132,8,8,113
153,134,8,8,115
154,136,8,8,117
155,138,8,8,119
156,140,8,8,121
157,142,8,8,123
158,146,8,8,125
159,148,8,8,127
320,7,8,16,0
321,9,8,16,2
322,13,8,16,4
323,15,8,16,6
324,17,8,16,8
325,19,8,16,10
326,21,8,16,12
327,23,8,16,14
328,25,8,16,16
329,27,8,16,18
330,29,8,16,20
331,31,8,16,22
332,35,8,16,24
333,37,8,16,26
334,39,8,16,28
335,41,8,16,30
336,43,8,16,32
337,45,8,16,34
338,47,8,16,36
339,49,8,16,38
340,51,8,16,40
341,53,8,16,42
342,57,8,16,44
343,59,8,16,46
344,61,8,16,48
345,63,8,16,50
346,65,8,16,52
347,67,8,16,54
348,69,8,16,56
349,71,8,16,58
350,73,8,16,60
351,75,8,16,62
352,79,8,16,64
353,81,8,16,66
354,83,8,16,68
355,85,8,16,70
356,87,8,16,72
357,89,8,16,74
358,91,8,16,76
359,93,8,16,78
360,95,8,16,80
361,97,8,16,82
362,101,8,16,84
363,103,8,16,86
364,105,8,16,88
365,107,8,16,90
366,109,8,16,92
367,111,8,16,94
368,113,8,16,96
369,115,8,16,98
370,117,8,16,100
371,119,8,16,102
372,123,8,16,104
373,125,8,16,106
374,127,8,16,108
375,129,8,16,110
376,131,8,16,112
377,133,8,16,114
378,135,8,16,116
379,137,8,16,118
380,139,8,16,120
381,141,8,16,122
382,145,8,16,124
383,147,8,16,126
320,7,8,16,0
321,9,8,16,2
322,13,8,16,4
323,15,8,16,6
324,17,8,16,8
325,19,8,16,10
326,21,8,16,12
327,23,8,16,14
328,25,8,16,16
329,27,8,16,18
330,29,8,16,20
331,31,8,16,22
332,35,8,16,24
333,37,8,16,26
334,39,8,16,28
335,41,8,16,30
336,43,8,16,32
337,45,8,16,34
338,47,8,16,36
339,49,8,16,38
340,51,8,16,40
341,53,8,16,42
342,57,8,16,44
343,59,8,16,46
344,61,8,16,48
345,63,8,16,50
346,65,8,16,52
347,67,8,16,54
348,69,8,16,56
349,71,8,16,58
350,73,8,16,60
351,75,8,16,62
352,79,8,16,64
353,81,8,16,66
354,83,8,16,68
355,85,8,16,70
356,87,8,16,72
357,89,8,16,74
358,91,8,16,76
359,93,8,16,78
360,95,8,16,80
361,97,8,16,82
362,101,8,16,84
363,103,8,16,86
364,105,8,16,88
365,107,8,16,90
366,109,8,16,92
367,111,8,16,94
368,113,8,16,96
369,115,8,16,98
370,117,8,16,100
371,119,8,16,102
372,123,8,16,104
373,125,8,16,106
374,127,8,16,108
375,129,8,16,110
376,131,8,16,112
377,133,8,16,114
378,135,8,16,116
379,137,8,16,118
380,139,8,16,120
381,141,8,16,122
382,145,8,16,124
383,147,8,16,126
319,8,8,16,1
318,10,8,16,3
317,14,8,16,5
316,16,8,16,7
315,18,8,16,9
314,20,8,16,11
313,22,8,16,13
312,24,8,16,15
311,26,8,16,17
310,28,8,16,19
309,30,8,16,21
308,32,8,16,23
307,36,8,16,25
306,38,8,16,27
305,40,8,16,29
304,42,8,16,31
303,44,8,16,33
302,46,8,16,35
301,48,8,16,37
300,50,8,16,39
299,52,8,16,41
298,54,8,16,43
297,58,8,16,45
296,60,8,16,47
295,62,8,16,49
294,64,8,16,51
293,66,8,16,53
292,68,8,16,55
291,70,8,16,57
290,72,8,16,59
289,74,8,16,61
288,76,8,16,63
287,80,8,16,65
286,82,8,16,67
285,84,8,16,69
284,86,8,16,71
283,88,8,16,73
282,90,8,16,75
281,92,8,16,77
280,94,8,16,79
279,96,8,16,81
278,98,8,16,83
277,102,8,16,85
276,104,8,16,87
275,106,8,16,89
274,108,8,16,91
273,110,8,16,93
272,112,8,16,95
271,114,8,16,97
270,116,8,16,99
269,118,8,16,101
268,120,8,16,103
267,124,8,16,105
266,126,8,16,107
265,128,8,16,109
264,130,8,16,111
263,132,8,16,113
262,134,8,16,115
261,136,8,16,117
260,138,8,16,119
259,140,8,16,121
258,142,8,16,123
257,146,8,16,125
256,148,8,16,127
319,8,8,16,1
318,10,8,16,3
317,14,8,16,5
316,16,8,16,7
315,18,8,16,9
314,20,8,16,11
313,22,8,16,13
312,24,8,16,15
311,26,8,16,17
310,28,8,16,19
309,30,8,16,21
308,32,8,16,23
307,36,8,16,25
306,38,8,16,27
305,40,8,16,29
304,42,8,16,31
303,44,8,16,33
302,46,8,16,35
301,48,8,16,37
300,50,8,16,39
299,52,8,16,41
298,54,8,16,43
297,58,8,16,45
296,60,8,16,47
295,62,8,16,49
294,64,8,16,51
293,66,8,16,53
292,68,8,16,55
291,70,8,16,57
290,72,8,16,59
289,74,8,16,61
288,76,8,16,63
287,80,8,16,65
286,82,8,16,67
285,84,8,16,69
284,86,8,16,71
283,88,8,16,73
282,90,8,16,75
281,92,8,16,77
280,94,8,16,79
279,96,8,16,81
278,98,8,16,83
277,102,8,16,85
276,104,8,16,87
275,106,8,16,89
274,108,8,16,91
273,110,8,16,93
272,112,8,16,95
271,114,8,16,97
270,116,8,16,99
269,118,8,16,101
268,120,8,16,103
267,124,8,16,105
266,126,8,16,107
265,128,8,16,109
264,130,8,16,111
263,132,8,16,113
262,134,8,16,115
261,136,8,16,117
260,138,8,16,119
259,140,8,16,121
258,142,8,16,123
257,146,8,16,125
256,148,8,16,127
0,7,7,1,0
1,9,7,1,2
2,13,7,1,4
3,15,7,1,6
4,17,7,1,8
5,19,7,1,10
6,21,7,1,12
7,23,7,1,14
8,25,7,1,16
9,27,7,1,18
10,29,7,1,20
11,31,7,1,22
12,35,7,1,24
13,37,7,1,26
14,39,7,1,28
15,41,7,1,30
16,43,7,1,32
17,45,7,1,34
18,47,7,1,36
19,49,7,1,38
20,51,7,1,40
21,53,7,1,42
22,57,7,1,44
23,59,7,1,46
24,61,7,1,48
25,63,7,1,50
26,65,7,1,52
27,67,7,1,54
28,69,7,1,56
29,71,7,1,58
30,73,7,1,60
31,75,7,1,62
32,79,7,1,64
33,81,7,1,66
34,83,7,1,68
35,85,7,1,70
36,87,7,1,72
37,89,7,1,74
38,91,7,1,76
39,93,7,1,78
40,95,7,1,80
41,97,7,1,82
42,101,7,1,84
43,103,7,1,86
44,105,7,1,88
45,107,7,1,90
46,109,7,1,92
47,111,7,1,94
48,113,7,1,96
49,115,7,1,98
50,117,7,1,100
51,119,7,1,102
52,123,7,1,104
53,125,7,1,106
54,127,7,1,108
55,129,7,1,110
56,131,7,1,112
57,133,7,1,114
58,135,7,1,116
59,137,7,1,118
60,139,7,1,120
61,141,7,1,122
62,145,7,1,124
63,147,7,1,126
0,7,7,1,0
1,9,7,1,2
2,13,7,1,4
3,15,7,1,6
4,17,7,1,8
5,19,7,1,10
6,21,7,1,12
7,23,7,1,14
8,25,7,1,16
9,27,7,1,18
10,29,7,1,20
11,31,7,1,22
12,35,7,1,24
13,37,7,1,26
14,39,7,1,28
15,41,7,1,30
16,43,7,1,32
17,45,7,1,34
18,47,7,1,36
19,49,7,1,38
20,51,7,1,40
21,53,7,1,42
22,57,7,1,44
23,59,7,1,46
24,61,7,1,48
25,63,7,1,50
26,65,7,1,52
27,67,7,1,54
28,69,7,1,56
29,71,7,1,58
30,73,7,1,60
31,75,7,1,62
32,79,7,1,64
33,81,7,1,66
34,83,7,1,68
35,85,7,1,70
36,87,7,1,72
37,89,7,1,74
38,91,7,1,76
39,93,7,1,78
40,95,7,1,80
41,97,7,1,82
42,101,7,1,84
43,103,7,1,86
44,105,7,1,88
45,107,7,1,90
46,109,7,1,92
47,111,7,1,94
48,113,7,1,96
49,115,7,1,98
50,117,7,1,100
51,119,7,1,102
52,123,7,1,104
53,125,7,1,106
54,127,7,1,108
55,129,7,1,110
56,131,7,1,112
57,133,7,1,114
58,135,7,1,116
59,137,7,1,118
60,139,7,1,120
61,141,7,1,122
62,145,7,1,124
63,147,7,1,126
127,8,7,1,1
126,10,7,1,3
125,14,7,1,5
124,16,7,1,7
123,18,7,1,9
122,20,7,1,11
121,22,7,1,13
120,24,7,1,15
119,26,7,1,17
118,28,7,1,19
117,30,7,1,21
116,32,7,1,23
115,36,7,1,25
114,38,7,1,27
113,40,7,1,29
112,42,7,1,31
111,44,7,1,33
110,46,7,1,35
109,48,7,1,37
108,50,7,1,39
107,52,7,1,41
106,54,7,1,43
105,58,7,1,45
104,60,7,1,47
103,62,7,1,49
102,64,7,1,51
101,66,7,1,53
100,68,7,1,55
99,70,7,1,57
98,72,7,1,59
97,74,7,1,61
96,76,7,1,63
95,80,7,1,65
94,82,7,1,67
93,84,7,1,69
92,86,7,1,71
91,88,7,1,73
90,90,7,1,75
89,92,7,1,77
88,94,7,1,79
87,96,7,1,81
86,98,7,1,83
85,102,7,1,85
84,104,7,1,87
83,106,7,1,89
82,108,7,1,91
81,110,7,1,93
80,112,7,1,95
79,114,7,1,97
78,116,7,1,99
77,118,7,1,101
76,120,7,1,103
75,124,7,1,105
74,126,7,1,107
73,128,7,1,109
72,130,7,1,111
71,132,7,1,113
70,134,7,1,115
69,136,7,1,117
68,138,7,1,119
67,140,7,1,121
66,142,7,1,123
65,146,7,1,125
64,148,7,1,127
127,8,7,1,1
126,10,7,1,3
125,14,7,1,5
124,16,7,1,7
123,18,7,1,9
122,20,7,1,11
121,22,7,1,13
120,24,7,1,15
119,26,7,1,17
118,28,7,1,19
117,30,7,1,21
116,32,7,1,23
115,36,7,1,25
114,38,7,1,27
113,40,7,1,29
112,42,7,1,31
111,44,7,1,33
110,46,7,1,35
109,48,7,1,37
108,50,7,1,39
107,52,7,1,41
106,54,7,1,43
105,58,7,1,45
104,60,7,1,47
103,62,7,1,49
102,64,7,1,51
101,66,7,1,53
100,68,7,1,55
99,70,7,1,57
98,72,7,1,59
97,74,7,1,61
96,76,7,1,63
95,80,7,1,65
94,82,7,1,67
93,84,7,1,69
92,86,7,1,71
91,88,7,1,73
90,90,7,1,75
89,92,7,1,77
88,94,7,1,79
87,96,7,1,81
86,98,7,1,83
85,102,7,1,85
84,104,7,1,87
83,106,7,1,89
82,108,7,1,91
81,110,7,1,93
80,112,7,1,95
79,114,7,1,97
78,116,7,1,99
77,118,7,1,101
76,120,7,1,103
