vfatId,vfatCh,iEta,strip
22,105,2,299
22,106,2,277
22,107,2,298
22,108,2,278
22,109,2,297
22,110,2,279
22,111,2,296
22,112,2,280
22,113,2,295
22,114,2,281
22,115,2,294
22,116,2,282
22,117,2,293
22,118,2,283
22,119,2,292
22,120,2,284
22,121,2,291
22,122,2,285
22,123,2,290
22,124,2,286
22,125,2,289
22,126,2,287
22,127,2,288
21,0,3,352
21,1,3,351
21,2,3,353
21,3,3,350
21,4,3,354
21,5,3,349
21,6,3,355
21,7,3,348
21,8,3,356
21,9,3,347
21,10,3,357
21,11,3,346
21,12,3,358
21,13,3,345
21,14,3,359
21,15,3,344
21,16,3,360
21,17,3,343
21,18,3,361
21,19,3,342
21,20,3,362
21,21,3,341
21,22,3,363
21,23,3,340
21,24,3,364
21,25,3,339
21,26,3,365
21,27,3,338
21,28,3,366
21,29,3,337
21,30,3,367
21,31,3,336
21,32,3,368
21,33,3,335
21,34,3,369
21,35,3,334
21,36,3,370
21,37,3,333
21,38,3,371
21,39,3,332
21,40,3,372
21,41,3,331
21,42,3,373
21,43,3,330
21,44,3,374
21,45,3,329
21,46,3,375
21,47,3,328
21,48,3,376
21,49,3,327
21,50,3,377
21,51,3,326
21,52,3,378
21,53,3,325
21,54,3,379
21,55,3,324
21,56,3,380
21,57,3,323
21,58,3,381
21,59,3,322
21,60,3,382
21,61,3,321
21,62,3,383
21,63,3,320
21,64,3,256
21,65,3,319
21,66,3,257
21,67,3,318
21,68,3,258
21,69,3,317
21,70,3,259
21,71,3,316
21,72,3,260
21,73,3,315
21,74,3,261
21,75,3,314
21,76,3,262
21,77,3,313
21,78,3,263
21,79,3,312
21,80,3,264
21,81,3,311
21,82,3,265
21,83,3,310
21,84,3,266
21,85,3,309
21,86,3,267
21,87,3,308
21,88,3,268
21,89,3,307
21,90,3,269
21,91,3,306
21,92,3,270
21,93,3,305
21,94,3,271
21,95,3,304
21,96,3,272
21,97,3,303
21,98,3,273
21,99,3,302
21,100,3,274
21,101,3,301
21,102,3,275
21,103,3,300
21,104,3,276
21,105,3,299
21,106,3,277
21,107,3,298
21,108,3,278
21,109,3,297
21,110,3,279
21,111,3,296
21,112,3,280
21,113,3,295
21,114,3,281
21,115,3,294
21,116,3,282
21,117,3,293
21,118,3,283
21,119,3,292
21,120,3,284
21,121,3,291
21,122,3,285
21,123,3,290
21,124,3,286
21,125,3,289
21,126,3,287
21,127,3,288
20,0,4,352
20,1,4,351
20,2,4,353
20,3,4,350
20,4,4,354
20,5,4,349
20,6,4,355
20,7,4,348
20,8,4,356
20,9,4,347
20,10,4,357
